© 2000-2019 QIAGEN. All rights reserved.

Analysis Details for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Workspace	My Projects
Project	hdMouse_Microarray_Final
Analysis	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Date	Tue May 28 04:27:19 PDT 2019
Analysis ID	17865904

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Mouse Genome 430 2.0 Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse OR Human OR Rat) AND
(confidence = Experimentally Observed)

Canonical Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
2	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	ACAA2,ANXA6,ATP8A2,AZGP1,BCL2L1,CADM3,CYB5R2,ETS2,EYA4,FGF9,GPR85,HADH,INKA2,INSM1,LDHB,LPP,MIR17HG,PFKM,PRMT5,PTEN,RAD50,RPL5,RPS18,SCG5,SLC45A3,SMAD6,SMARCA4,SMOC1,STXBP4,TACSTD2,TBPL1,TP53,TP63,Tmsb4x (includes others),UCHL1	21	11	Cancer, Organismal Injury and Abnormalities, Cell Morphology	
3	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	ABCA1,APC,APOE,Alp,CASQ1,CDKN2A,CNR1,CTNNB1,CYP19A1,DKK1,DNMT3B,EZH2,GALNT13,HMGCR,HSF1,IGHM,KAT5,LGALS3,LHX2,NANOG,NCAM2,OLFM1,PAX7,PCDH15,PECAM1,POU5F1,PRKCB,RGS16,RUNX2,SEMA5A,SIRT1,SOX11,SOX4,SOX9,TRDN	10	6	Tissue Development, Cancer, Cellular Development	
4	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	TAF6,ZSWIM7	2	1	Developmental Disorder, Hereditary Disorder, Neurological Disease	
5	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	SUMO2,ZBTB1	2	1	Cell Cycle, Cellular Development, Embryonic Development	
6	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	CLDN14,CLDN6	2	1	Auditory Disease, Hereditary Disorder, Neurological Disease	
7	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	4930502E18Rik_NM_029142.1,PCGF6	2	1	Cellular Assembly and Organization, DNA Replication, Recombination, and Repair, Cancer	
8	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	DNMT3A,ENPP6,PKD1	2	1	Lipid Metabolism, Small Molecule Biochemistry, Cancer	
9	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	EPS15,FCHO1,GATA2	2	1	Cellular Assembly and Organization, Cellular Function and Maintenance, Cancer	
10	Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM	FGF23,PDZK1,PTH,SLC34A3	2	1	Cellular Function and Maintenance, Molecular Transport, Small Molecule Biochemistry	

My Lists for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
My Lists	 -log(p-value)	Ratio	Molecules 

Tox Lists for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
Ingenuity Toxicity Lists	 -log(p-value)	Ratio	Molecules 
Increases Liver Damage	1.48E00	2.22E-02	RAG1,FAAH
Increases Liver Hepatitis	6.54E-01	1.27E-02	RAG1
Increases Glomerular Injury	6.39E-01	1.22E-02	BMP4
Liver Necrosis/Cell Death	5.98E-01	6.54E-03	SCG5,FAAH
Increases Renal Damage	5.92E-01	1.08E-02	BMP4
TGF-β Signaling	5.8E-01	1.04E-02	BMP4
Decreases Transmembrane Potential of Mitochondria and Mitochondrial Membrane	5.23E-01	8.93E-03	LGALS2
Increases Liver Hyperplasia/Hyperproliferation	4.98E-01	8.33E-03	RAG1
Hepatic Cholestasis	3.73E-01	5.78E-03	IL17B
NF-κB Signaling	3.41E-01	5.24E-03	BMP4
Renal Necrosis/Cell Death	2.96E-01	3.76E-03	RAG1,Cdc42
Liver Proliferation	2.7E-01	4.15E-03	BMP4
Cardiac Necrosis/Cell Death	2.38E-01	3.7E-03	S100B
Cardiac Hypertrophy	0E00	2.84E-03	BMP4

My Pathways for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
My Pathways	 -log(p-value)	Ratio	Molecules 

Analysis Ready Molecules for My Projects->hdMouse_Microarray_Final->Q175_6mo_Glt1_Multiprobe - 2019-05-28 07:27 AM
ID	Symbol	Expr Log Ratio	Expr p-value
1429934_at	4930502E18Rik	1.46341270237616	0.0126236959148459
1418148_at	Abhd1	2.23226901873179	3.88245911289029E-5
1448539_a_at	ACY3	1.58593393053708	3.1042034971384E-5
1460294_at	ATP8A2	1.51290834822765	0.00484214565571421
1422912_at	BMP4	2.62189650734715	1.19929933140281E-5
1418921_at	CADM3	0.660503487359009	0.035236572703442
1422598_at	CASQ1	1.27827814357414	0.0110812131663211
1443941_at	CCDC149	0.750417315503094	0.00195029035767152
1435807_at	Cdc42	1.39524795668353	6.93429009931043E-5
1420579_s_at	CFTR	1.19131826935973	0.0246674948683381
1420345_at	CLDN14	1.22890566900872	0.0145702692804197
1459448_at	CYB5R2	1.21401847622967	0.0234081240898293
1425608_at	DUSP3	0.843826375795063	0.0214238267537209
1439743_at	ELFN2	1.09707904758645	0.00686007002127359
1438785_at	ENPP6	1.15083684119397	0.0293809763341595
1436093_at	EPHA10	0.785094765179137	0.0126729423560556
1456647_a_at	EYA4	1.04914764763509	0.0126729423560556
1434091_at	FAAH	1.4171761469109	0.00370695769937973
1436078_at	FCHO1	1.6416292821995	0.00448313440289992
1419376_at	FIBIN	1.81154950464031	1.35143112305499E-6
1439899_at	GALNT13	1.68024862735724	0.0293809763341595
1443190_at	Gm14133	1.71140423122863	2.69232259113516E-4
1424897_at	GPR85	0.912492841229678	0.0126236959148459
1428630_x_at	HAGHL	0.599577148722037	0.0122109089827329
1431693_a_at	IL17B	1.35239504050256	1.59389071211236E-5
1426987_at	Inafm2	0.463475744461221	0.0234081240898293
1444723_at	INKA2	1.48384495878	0.00342900343845213
1455865_at	INSM1	1.4175097652635	3.26521956949342E-4
1437528_x_at	KIAA1024L	1.32343669617331	0.00669231828940458
1448160_at	LCP1	1.12956501143428	0.0149765451499705
1417079_s_at	LGALS2	1.08167109513838	0.0394423593886307
1423520_at	LMNB1	-1.03910205918741	0.0189395396706037
1441213_at	MAP3K21	1.57038529060839	6.63935568795482E-4
1430934_at	NAALADL2	0.784091187322533	0.0266309032033549
1457423_at	NALCN	1.08409084453275	0.0205603429165098
1430538_at	Nbdy	0.423918854264826	0.00484214565571421
1425301_at	NCAM2	0.674954391923277	0.01538316510246
1426562_a_at	OLFM1	0.994031574976409	0.00804914096549088
1444317_at	PCDH15	1.57630216537453	0.0357229571448
1422311_a_at	POLR2A	0.658277910708749	0.0489211661624189
1450680_at	RAG1	1.38609408100473	0.0228143813826997
1454715_at	RALYL	1.93220086771194	4.37239167922154E-5
1419383_at	S100B	0.550258949161268	1.32376755358932E-4
1423150_at	SCG5	0.396753703849487	0.00484214565571421
1434776_at	SEMA5A	1.38048202103937	0.0267423161636613
1439519_at	SLC34A3	1.24514602307046	0.0298908767820428
1426663_s_at	SLC45A3	1.45532209782267	0.01538316510246
1448321_at	SMOC1	0.801550988400493	6.66822406902702E-4
1434292_at	Snhg11	2.11501501117658	0.00119742466334082
1459122_at	SPEF2	1.67768718651285	0.0303312326713173
1438698_at	TMEM132C	2.01578504365912	2.50469568237312E-5
1428113_at	TMTC4	1.08827064625033	8.82469139202815E-6
1419307_at	TNFRSF13C	2.25958013249807	6.69052910223496E-6
1448260_at	UCHL1	1.86149400511498	5.88822416792829E-7
1438110_at	ZBTB1	0.706995504500068	0.0177665952177087
1428515_at	ZSWIM7	0.450199601779046	0.0298908767820428

