© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Workspace	My Projects
Project	hd_microarray
Analysis	Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Date	Mon Jan 20 14:26:17 PST 2020
Analysis ID	18745379

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Human Gene 2.0 ST Array
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Protein Kinase A Signaling	4E-01		2.61E-03	H1-5	
Molecular Mechanisms of Cancer	4.02E-01		2.63E-03	LRP1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.87E-01		3.36E-03	LRP1	
Neuroinflammation Signaling Pathway	4.98E-01		3.46E-03	GAD2	
Sirtuin Signaling Pathway	5.13E-01		3.61E-03	H1-5	
Colorectal Cancer Metastasis Signaling	5.58E-01		4.08E-03	LRP1	
Sperm Motility	6.12E-01		4.72E-03	DDR2	
Actin Cytoskeleton Signaling	6.18E-01		4.78E-03	TIAM1	
Superpathway of Inositol Phosphate Compounds	6.54E-01		5.26E-03	NUDT11	
NRF2-mediated Oxidative Stress Response	6.64E-01		5.41E-03	HERPUD1	
Wnt/β-catenin Signaling	6.97E-01		5.88E-03	LRP1	
Tight Junction Signaling	7.04E-01		5.99E-03	TIAM1	
Dendritic Cell Maturation	7.06E-01		6.02E-03	DDR2	
3-phosphoinositide Biosynthesis	7.26E-01		6.33E-03	NUDT11	
D-myo-inositol-5-phosphate Metabolism	7.49E-01		6.71E-03	NUDT11	
3-phosphoinositide Degradation	7.52E-01		6.76E-03	NUDT11	
Endocannabinoid Cancer Inhibition Pathway	7.71E-01		7.09E-03	NUPR1	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	7.91E-01		7.46E-03	NUDT11	
Iron homeostasis signaling pathway	8.06E-01		7.75E-03	LRP1	
IL-15 Production	8.42E-01		8.47E-03	DDR2	
Endocannabinoid Developing Neuron Pathway	8.52E-01		8.70E-03	STMN2	
Rac Signaling	8.74E-01		9.17E-03	TIAM1	
Type I Diabetes Mellitus Signaling	9.01E-01		9.80E-03	GAD2	
GABA Receptor Signaling	9.34E-01		1.06E-02	GAD2	
Factors Promoting Cardiogenesis in Vertebrates	9.52E-01		1.11E-02	LRP1	
Synaptogenesis Signaling Pathway	1.22E00		6.56E-03	LRP1,TIAM1	
Inhibition of Matrix Metalloproteases	1.31E00		2.63E-02	LRP1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.5E00		9.35E-03	DLX5,LRP1	
Granzyme A Signaling	1.66E00		5.88E-02	H1-5	
Glutamate Degradation III (via 4-aminobutyrate)	2.18E00		2.00E-01	GAD2	
Glutamate Dependent Acid Resistance	2.58E00		5.00E-01	GAD2	
Osteoarthritis Pathway	2.64E00		1.49E-02	DDR2,DLX5,LRP1	

Upstream Regulators for My Projects->hd_microarray->Q23_Vs_pTANK_Glia - 2020-01-20 05:26 PM
Analysis	ID	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Notes	Bias Term	Bias-corrected z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
ARHGEF12	other	 	2	 	 	-0.447	7.27E-03	3.37E-02	ARHGEF12,EGFR,GNA12,MAPK1,RAF1,SRF	DDR2,HERPUD1,LRP1,NUPR1,TIAM1	5 (6)	5	 	 	 	 	 	 	 	 	 	
Apaf1-Cycs	complex	 	3	 	 	-1.000	7.59E-03	1.72E-02	APAF1,Apaf1-Cycs,CASP9,caspase,CYCS,cytochrome C,NFkB (complex),PARP1	GAD2,HERPUD1,KCND3,TMSB15A	4 (8)	3	 	 	 	 	 	 	 	 	 	
PLCG1	enzyme	 	2	 	 	-0.447	7.61E-03	4.94E-02	EGR1,ELK1,NFkB (complex),Pkc(s),PLCG1	BCL11B,GAD2,KCND3,NUPR1,TIAM1	5 (5)	4	Ins1	IL15RA,PTPN2	 	NCL,NFkB (complex)	ELK1,RELA,THBS1	 	 	 	 	
EPHB2	kinase	 	1	 	 	1.000	7.62E-03	1.81E-02	EPHB2	STMN2	1 (1)	1	CXCL12	APP	 	 	 	 	 	 	 	
glycochenodeoxycholate	chemical - endogenous mammalian	 	2	 	 	-1.342	7.80E-03	2.69E-02	caspase,EGFR,glycochenodeoxycholate,NFkB (complex),PARP1,TP73	GAD2,HERPUD1,KCND3,NUPR1,TMSB15A	5 (6)	5	 	 	 	CASP10,CASP8,caspase,NFkB (complex)	 	 	 	 	 	
STAT4	transcription regulator	 	2	 	 	0.816	7.82E-03	4.51E-02	GATA3,IFNG,STAT4	BCL11B,DDR2,LRP1,NEAT1,NUPR1,RBM5-AS1	6 (3)	3	CXCL12,cytokine,Ifn,IFNA10,IFNA14,IFNA16,IFNA17,IFNA21,IFNA7,IFNA8,IFNK,IFNW1,mifepristone,RELB,WSX1-gp130	mir-8	 	ATF4,CCR5,DDAH2,MAGED1,RORA	 	 	 	 	 	
CCR5	G-protein coupled receptor	 	2	 	 	0.447	8.39E-03	3.44E-02	CCR5,GNA12,MAP2K1/2,NFkB (complex),STAT5B	DDR2,GAD2,HERPUD1,KCND3,PDZRN3	5 (5)	4	PPIF,STAT4	Nr1h	 	CXCL12,NFkB (complex)	 	 	 	 	 	
PC-PLC	group	 	2	 	 	1.732	8.68E-03	1.09E-02	A2M,PC-PLC,Pkc(s),RAF1	BCL11B,LRP1,TIAM1	3 (4)	3	 	 	 	A2M	 	 	 	 	 	
PSEN1	peptidase	 	1	 	 	-1.414	8.87E-03	1.96E-02	PSEN1	LRP1,NUPR1	2 (1)	1	ATF4	 	 	copper,EFNB2,KCNAB2,TSHB	 	 	 	 	 	
TAZ	enzyme	 	2	 	 	-1.000	8.87E-03	1.92E-02	BMP4,NFkB (complex),TAZ	DLX5,GAD2,KCND3,NUPR1	4 (3)	2	 	 	 	BMP4,NFkB (complex),NLRP2	dinoprost	 	 	 	 	
2-mercaptoethanol	chemical - endogenous mammalian	 	1	 	 	1.000	8.88E-03	5.40E-03	2-mercaptoethanol	HERPUD1	1 (1)	1	 	 	 	 	 	 	 	 	 	
DLX1	transcription regulator	 	1	 	 	-1.000	8.88E-03	1.44E-02	DLX1	GAD2	1 (1)	1	PPP4R3A,PPP4R3B	ASCL1	 	 	 	 	 	 	 	
WNT10B	other	 	1	 	 	-1.000	8.88E-03	8.30E-03	WNT10B	DLX5	1 (1)	1	clodronic acid	A2M	 	DLX5	 	 	 	 	 	
Rxr	group	 	2	 	 	1.342	9.05E-03	3.05E-02	CCND1,NFkB (complex),RARA,Rxr,SREBF1	GAD2,KCND3,NUPR1,TIAM1,TMSB15A	5 (5)	4	farnesol	BAG1	 	 	NFkB (complex)	 	 	 	 	
urethane	chemical toxicant	 	2	 	 	-1.342	9.23E-03	2.90E-02	MAPK1,Mek,NFkB (complex),RAF1,urethane	DDR2,GAD2,KCND3,NUPR1,TIAM1	5 (5)	4	 	 	 	NFkB (complex)	 	 	 	 	 	
AQP1	transporter	 	2	 	 	-0.577	9.70E-03	1.95E-02	AQP1,caspase,CTNNB1	HERPUD1,NUPR1,TMSB15A	3 (3)	3	NFkB (complex),proteasome inhibitor,SCT	SP600125	 	 	caspase	 	 	 	 	
FAM20C	enzyme	 	2	 	 	0.447	9.79E-03	4.01E-02	APC,APP,DMP1,FAM20C	DLX5,HERPUD1,KCND3,LRP1,TIAM1	5 (4)	3	 	TFRC	 	APP,RELA	PKMYT1	 	 	 	 	
cytochrome C	group	 	2	 	 	0.000	9.80E-03	4.40E-03	caspase,cytochrome C,PARP1	HERPUD1,TMSB15A	2 (3)	2	rotenone	 	 	caspase	 	 	 	 	 	
(-)-epicatechin gallate	chemical - endogenous non-mammalian	 	1	 	 	-1.000	1.01E-02	9.50E-03	(-)-epicatechin gallate	DLX5	1 (1)	1	 	 	 	DLX5	 	 	 	 	 	
I-BET-151	chemical reagent	 	1	 	 	1.000	1.01E-02	5.80E-03	I-BET-151	NEAT1	1 (1)	1	 	 	 	 	 	 	 	 	 	
mir-8	microRNA	 	1	 	 	0.000	1.11E-02	1.71E-02	mir-8	DLX5,LRP1	2 (1)	1	 	SIX1	 	 	DLX5,KLF4,NFkB (complex),STAT4	 	 	 	 	
NMNAT1	enzyme	 	1	 	 	-1.000	1.14E-02	1.90E-02	NMNAT1	TMSB15A	1 (1)	1	 	 	 	 	 	 	 	 	 	
PEMT	enzyme	 	1	 	 	1.000	1.14E-02	8.80E-03	PEMT	HERPUD1	1 (1)	1	SCD	 	 	HDL-cholesterol	 	 	 	 	 	
PTGES3	enzyme	 	1	 	 	1.000	1.14E-02	1.51E-02	PTGES3	NUPR1	1 (1)	1	 	 	 	 	 	 	 	 	 	
SATB2	transcription regulator	 	1	 	 	1.000	1.14E-02	1.35E-02	SATB2	BCL11B	1 (1)	1	 	mir-31	 	TBR1	 	 	 	 	 	
TERC	other	 	1	 	 	1.000	1.14E-02	7.20E-03	TERC	NUPR1	1 (1)	1	RNA polymerase II	 	 	 	CASP1	 	 	 	 	
USP37	peptidase	 	1	 	 	-1.000	1.14E-02	1.71E-02	USP37	STMN2	1 (1)	1	 	 	 	 	 	 	 	 	 	
3,5-L-diiodothyronine	chemical - endogenous mammalian	 	3	 	 	1.000	1.17E-02	2.36E-02	3,5-L-diiodothyronine,DIO1,G6PD,levothyroxine,NFkB (complex),Pkc(s)	BCL11B,GAD2,KCND3,SLC7A3	4 (6)	3	 	 	 	 	SCD,TSHB	 	 	 	 	
CNB-001	chemical reagent	 	1	 	 	1.000	1.27E-02	1.08E-02	CNB-001	HERPUD1	1 (1)	1	 	 	 	ATF4,DDIT3	 	 	 	 	 	
copper	chemical - endogenous mammalian	 	1	 	 	-1.000	1.27E-02	1.19E-02	copper	LRP1	1 (1)	1	PRNP,PSEN1	COMMD1	 	caspase,Collagen(s)	 	 	 	 	 	
theophylline	chemical drug	 	1	 	 	-1.000	1.27E-02	9.50E-03	theophylline	LRP1	1 (1)	1	 	 	 	THBS1	Adora3/LOC100911796	 	 	 	 	
TSHB	other	 	2	 	 	-0.577	1.37E-02	3.34E-02	L-triiodothyronine,levothyroxine,TSHB	LRP1,SLC7A3,TIAM1	3 (3)	2	PSEN1	3,5-L-diiodothyronine	 	 	 	 	 	 	 	
C9orf72	other	 	1	 	 	-1.000	1.39E-02	3.44E-02	C9orf72	NEAT1	1 (1)	1	 	 	 	 	 	 	 	 	 	
ST3-Hel2A-2	chemical reagent	 	1	 	biased	1.000	1.39E-02	4.80E-03	ST3-Hel2A-2	HERPUD1	1 (1)	1	 	 	 	DDIT3	 	 	 	 	 	
TAS1R3	G-protein coupled receptor	 	1	 	 	-1.000	1.39E-02	2.60E-02	TAS1R3	SLC7A3	1 (1)	1	 	 	 	 	 	 	 	 	 	
SENP2	peptidase	 	2	 	 	1.000	1.44E-02	4.57E-02	APC,CTNNB1,NFkB (complex),SENP2	GAD2,KCND3,TIAM1,TMSB15A	4 (4)	3	 	 	 	 	 	 	 	 	 	
APP	other	 	1	 	 	0.577	1.44E-02	2.12E-02	APP	HERPUD1,KCND3,LRP1	3 (1)	1	1,2-diolein diacylclycerol,FAM20C,IL1R1,LRPAP1,MAPK8IP1,phosphatidylserine,PPME1	diclofenac,fluvastatin,grape seed extract,methylene blue,mir-15,mir-181,prednisolone,rasagiline	 	ASCL1,ATF4,CAPN1,Casp12,CASP8,COMMD7,GSR,Irgm1,NAMPT,NFkB (complex),TRIB3	ACTN2,CXCL12,CXCR4,ELK1,EPHB2,NBR1,PRKCG,RNASEL	 	 	 	 	
RIPK3	kinase	 	2	 	 	1.000	1.47E-02	2.71E-02	caspase,IL1B,RIPK3	HERPUD1,NEAT1,RBM5-AS1,STMN2	4 (3)	2	CASP1,zVAD	 	 	caspase,NFkB (complex)	 	 	 	 	 	
vitamin D	chemical drug	 	2	 	 	0.000	1.51E-02	4.24E-02	caspase,NFkB (complex),VDR,vitamin D	GAD2,HERPUD1,KCND3,NUPR1	4 (4)	3	 	 	 	 	caspase,cytokine,mir-181,NFkB (complex)	 	 	 	 	
BHLHA15	transcription regulator	 	1	 	 	-1.000	1.52E-02	2.99E-02	BHLHA15	NUPR1	1 (1)	1	CGA	 	 	 	 	 	 	 	 	
PPP4R3A	other	 	1	 	 	-1.000	1.52E-02	2.74E-02	PPP4R3A	BCL11B	1 (1)	1	 	 	 	DLX1,DLX2,NFkB (complex)	 	 	 	 	 	
PPP4R3B	other	 	1	 	 	-1.000	1.52E-02	2.74E-02	PPP4R3B	BCL11B	1 (1)	1	 	 	 	DLX1,DLX2	 	 	 	 	 	
PTPN2	phosphatase	 	1	 	 	-1.000	1.52E-02	1.07E-02	PTPN2	BCL11B	1 (1)	1	 	 	 	NFkB (complex)	PLCG1	 	 	 	 	
KLF4	transcription regulator	 	2	 	 	1.000	1.64E-02	3.87E-02	caspase,KLF4,NFkB (complex)	GAD2,HERPUD1,KCND3,NEAT1	4 (3)	3	ATF4,BMP4,mifepristone,SP2509,tazemetostat,Usp17le (includes others)	mir-183,mir-8,TCF7L1	 	ACVR1,ASCL1,cytokine,TNFRSF19	caspase,NFkB (complex),THBS1	 	 	 	 	
ACVR1	kinase	 	1	 	biased	-1.000	1.64E-02	2.36E-02	ACVR1	DLX5	1 (1)	1	KLF4	GMNN	 	DLX5	 	 	 	 	 	
Betacatenin/TCF	complex	 	1	 	biased	-1.000	1.64E-02	1.88E-02	Betacatenin/TCF	DLX5	1 (1)	1	 	 	 	DLX5,Ifn	 	 	 	 	 	
EFNB2	kinase	 	1	 	 	-1.000	1.64E-02	2.58E-02	EFNB2	TIAM1	1 (1)	1	FOXC1,mifepristone,PSEN1,SP2509,tazemetostat	 	 	 	CASP8	 	 	 	 	
aluminum	chemical drug	 	3	 	 	0.000	1.66E-02	4.98E-02	aluminum,G6PD,GNAT1,NFkB (complex),Pkc(s),TWIST1	BCL11B,DDR2,GAD2,KCND3	4 (6)	3	 	 	 	 	 	 	 	 	 	
SOX4	transcription regulator	 	1	 	 	0.000	1.67E-02	4.60E-02	SOX4	SLC7A3,TIAM1	2 (1)	1	FOXL2	 	 	BEX3,CASP1,DDAH2,MAGED1,TNFRSF19	 	 	 	 	 	
(-)4,5-dicaffeoyl quinic acid	chemical - endogenous non-mammalian	 	3	Activated	 	2.000	1.67E-02	3.72E-02	(-)4,5-dicaffeoyl quinic acid,Alp,Ggt,NFkB (complex),PRL	GAD2,HERPUD1,KCND3,NUPR1	4 (5)	2	 	 	 	 	 	 	 	 	 	
Fus	transcription regulator	 	1	 	 	-1.000	1.77E-02	2.98E-02	Fus	H2BC10	1 (1)	1	 	 	 	KCNIP1	 	 	 	 	 	
SEL1L	other	 	1	 	 	-1.000	1.77E-02	2.60E-02	SEL1L	HERPUD1	1 (1)	1	ATF4	mir-183	 	 	DDIT3	 	 	 	 	
mir-31	microRNA	 	1	 	 	1.000	1.77E-02	1.56E-02	mir-31	TIAM1	1 (1)	1	 	 	 	 	NFkB (complex),RELA,SATB2	 	 	 	 	
clodronic acid	chemical drug	 	3	Inhibited	 	-2.000	1.80E-02	3.76E-02	Alp,clodronic acid,NFkB (complex),PRL,SLC25A4	GAD2,HERPUD1,KCND3,NUPR1	4 (5)	2	 	 	 	WNT10B	 	 	 	 	 	
BMP4	growth factor	 	1	 	 	0.000	1.81E-02	2.92E-02	BMP4	DLX5,NUPR1	2 (1)	1	PCSK5,SIX1,SOX11,TAZ	 	 	CASP8,CDH5,CGA,Collagen(s),DLX2,DLX5,KLF4,MMP14,NFkB (complex)	 	 	 	 	 	
AQP1	transporter	 	1	 	 	1.000	1.89E-02	3.36E-02	AQP1	NUPR1	1 (1)	1	NFkB (complex),proteasome inhibitor,SCT	SP600125	 	 	caspase	 	 	 	 	
CREBZF	transcription regulator	 	1	 	biased	-1.000	1.89E-02	1.94E-02	CREBZF	HERPUD1	1 (1)	1	 	 	 	 	ATF4,DDIT3	 	 	 	 	
RXFP2	G-protein coupled receptor	 	1	 	 	1.000	1.89E-02	2.30E-02	RXFP2	LRP1	1 (1)	1	 	 	 	CDH5	 	 	 	 	 	
GRAMD4	other	 	2	 	 	1.732	1.91E-02	2.72E-02	caspase,GRAMD4,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	caspase	NFkB (complex)	 	 	 	 	
LOC100359583/Ptma	other	 	2	 	 	-1.732	1.92E-02	2.72E-02	caspase,LOC100359583/Ptma,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	NFkB (complex)	caspase	 	 	 	 	
PKN3	kinase	 	2	 	 	-1.732	1.94E-02	2.93E-02	MMP14,NFkB (complex),PKN3	GAD2,KCND3,LRP1	3 (3)	2	 	SP2509,tazemetostat	 	MMP14,NFkB (complex)	 	 	 	 	 	
BEX3	other	 	2	 	 	-1.732	1.96E-02	2.99E-02	BEX3,caspase,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	SOX4	 	 	NFkB (complex)	caspase	 	 	 	 	
CARD16	other	 	2	 	 	-1.732	1.98E-02	2.81E-02	CARD16,caspase,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	NFkB (complex)	caspase	 	 	 	 	
NLRP2	other	 	2	 	 	1.732	1.99E-02	2.86E-02	caspase,NFkB (complex),NLRP2	GAD2,HERPUD1,KCND3	3 (3)	2	TAZ	 	 	CASP1,caspase	 	 	 	 	 	
PKMYT1	kinase	 	2	 	 	-1.732	1.99E-02	3.02E-02	MMP14,NFkB (complex),PKMYT1	GAD2,KCND3,LRP1	3 (3)	2	 	FAM20C	 	MMP14,NFkB (complex)	 	 	 	 	 	
death receptor	group	 	2	 	 	-0.577	1.99E-02	3.22E-02	caspase,death receptor,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	CASP10,CASP8,caspase,NFkB (complex)	 	 	 	 	 	
mir-138	microRNA	 	2	 	 	0.577	1.99E-02	2.73E-02	caspase,mir-138,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	 	caspase,NFkB (complex)	 	 	 	 	
SRF-ELK1	complex	 	2	 	 	0.000	2.00E-02	3.36E-02	ELK1,SRF,SRF-ELK1	LRP1,NUPR1	2 (3)	2	 	 	 	 	 	 	 	 	 	
bexarotene	chemical drug	 	1	 	 	-1.414	2.00E-02	3.60E-02	bexarotene	BCL11B,HERPUD1	2 (1)	1	 	 	 	SCD,TBR1	CYCS,Ins1	 	 	 	 	
TFF3	other	 	1	 	 	-1.000	2.02E-02	1.62E-02	TFF3	NEAT1	1 (1)	1	 	 	 	 	mir-329	 	 	 	 	
CASP10	peptidase	 	2	 	 	-0.577	2.06E-02	2.95E-02	CASP10,caspase,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	CASP8,death receptor,glycochenodeoxycholate	zVAD	 	caspase,NFkB (complex)	 	 	 	 	 	
MRTFA	transcription regulator	 	2	 	 	-0.577	2.10E-02	3.01E-02	caspase,MRTFA,SRF,YAP1	HERPUD1,LRP1,NUPR1	3 (4)	3	SP2509,tazemetostat	 	 	 	CASP8,caspase,ELANE	 	 	 	 	
NLRP1	other	 	2	 	 	-0.577	2.10E-02	2.86E-02	caspase,NFkB (complex),NLRP1	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	CASP1,caspase,NFkB (complex)	 	 	 	 	 	
DIRAS1	enzyme	 	2	 	 	0.577	2.11E-02	2.99E-02	DIRAS1,ELK1,NFkB (complex)	GAD2,KCND3,NUPR1	3 (3)	2	 	 	 	 	ELK1,NFkB (complex)	 	 	 	 	
PI3	other	 	2	 	 	0.577	2.13E-02	2.84E-02	caspase,NFkB (complex),PI3	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	 	caspase,ELANE,NFkB (complex)	 	 	 	 	
ERF	transcription regulator	 	1	 	 	-1.000	2.14E-02	3.65E-02	ERF	BCL11B	1 (1)	1	 	 	 	 	 	 	 	 	 	
farnesol	chemical reagent	 	1	 	 	1.000	2.14E-02	1.51E-02	farnesol	HERPUD1	1 (1)	1	 	 	 	DDIT3,Rxr	 	 	 	 	 	
FDFT1	enzyme	 	1	 	 	1.000	2.27E-02	3.05E-02	FDFT1	LRP1	1 (1)	1	Ins1,lysophosphatidylcholine,mifepristone	HDL-cholesterol	 	 	 	 	 	 	 	
IL15RA	transmembrane receptor	 	1	 	 	1.000	2.27E-02	1.29E-02	IL15RA	GAD2	1 (1)	1	Ifn,NFkB (complex)	 	 	 	PLCG1,SPN	 	 	 	 	
TERF2IP	other	 	1	 	 	1.000	2.27E-02	1.86E-02	TERF2IP	STMN2	1 (1)	1	 	 	 	NFkB (complex)	Ins1	 	 	 	 	
TMBIM6	other	 	1	 	 	1.000	2.27E-02	3.60E-02	TMBIM6	HERPUD1	1 (1)	1	 	 	 	 	CASP8,caspase,DDIT3	 	 	 	 	
acetaldehyde	chemical - endogenous mammalian	 	1	 	 	1.000	2.27E-02	1.45E-02	acetaldehyde	DDR2	1 (1)	1	 	 	 	Collagen(s),NFkB (complex),RELA	 	 	 	 	 	
Casp12	peptidase	 	2	 	 	1.732	2.27E-02	3.31E-02	Casp12,caspase,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	APP,PRNP	vitamin E	 	caspase	CASP1,NFkB (complex)	 	 	 	 	
CYCS	transporter	 	2	 	 	-0.577	2.29E-02	3.61E-02	caspase,CYCS,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	bexarotene	 	CASP8,caspase,NFkB (complex)	 	 	 	 	 	
ASCL1	transcription regulator	 	2	 	 	0.000	2.32E-02	3.74E-02	ASCL1,YAP1	DLX5,NUPR1	2 (2)	2	APP,KLF4	 	 	TBR1	DLX1,DLX5	 	 	 	 	
hypoxanthine	chemical - endogenous mammalian	 	2	 	 	1.414	2.32E-02	2.12E-02	caspase,hypoxanthine,PARP1	HERPUD1,TMSB15A	2 (3)	2	 	 	 	caspase	 	 	 	 	 	
IGBP1	phosphatase	 	2	 	 	-1.732	2.38E-02	3.98E-02	caspase,IGBP1,NFkB (complex)	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	NFkB (complex)	CASP1,caspase	 	 	 	 	
DLX5	transcription regulator	-1.422	1	 	 	-1.000	2.39E-02	4.58E-02	DLX5	GAD2	1 (1)	1	(-)-epicatechin gallate,ACVR1,APR-246,Betacatenin/TCF,BMP4,CXCL12,CXCR4,DLX2,Ins1,MAGED1,MIR124,WNT10B	ASCL1,MECP2,mir-124,mir-181,mir-8,SIX1	 	 	FOXL2	 	 	 	 	
DTNBP1	other	 	1	 	 	-1.000	2.39E-02	4.28E-02	DTNBP1	GAD2	1 (1)	1	 	 	 	 	 	 	 	 	 	
LRPAP1	other	 	1	 	 	-1.000	2.39E-02	8.90E-03	LRPAP1	LRP1	1 (1)	1	 	 	 	APP,DDIT3,NFkB (complex)	 	 	 	 	 	
Mir200	group	 	1	 	 	-1.000	2.39E-02	2.99E-02	Mir200	LRP1	1 (1)	1	 	 	 	 	 	 	 	 	 	
SKI	transcription regulator	 	1	 	 	1.000	2.39E-02	2.49E-02	SKI	BCL11B	1 (1)	1	 	 	 	 	 	 	 	 	 	
zVAD	chemical - protease inhibitor	 	2	 	 	-1.732	2.47E-02	4.03E-02	caspase,NFkB (complex),zVAD	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	NFkB (complex),RIPK3	CASP10,caspase,RELA	 	 	 	 	
CEL	enzyme	 	2	 	 	0.000	2.51E-02	1.78E-02	caspase,CEL,PARP1	HERPUD1,TMSB15A	2 (3)	2	 	MBD2	 	Ins1	caspase,lysophosphatidylcholine	 	 	 	 	
CETP	enzyme	 	1	 	 	1.000	2.52E-02	2.72E-02	CETP	HERPUD1	1 (1)	1	Nr1h	Ins1,NFkB (complex)	 	DDIT3	HDL-cholesterol	 	 	 	 	
DPP4	peptidase	 	1	 	 	-1.000	2.52E-02	7.50E-03	DPP4	LRP1	1 (1)	1	 	CXCL12,CXCR4,diclofenac	 	 	Ins1,MMP14,THBS1	 	 	 	 	
PDCD5	other	 	2	 	 	-0.577	2.54E-02	4.59E-02	caspase,NFkB (complex),PDCD5	GAD2,HERPUD1,KCND3	3 (3)	2	 	 	 	caspase,NFkB (complex)	 	 	 	 	 	
Bvr	group	 	2	 	 	-0.577	2.60E-02	3.72E-02	Bvr,ELK1,NFkB (complex)	GAD2,KCND3,NUPR1	3 (3)	2	 	 	 	ELK1,NFkB (complex),RELA	 	 	 	 	 	
RNASEL	enzyme	 	1	 	 	-1.000	2.64E-02	2.67E-02	RNASEL	TIAM1	1 (1)	1	 	APP	 	 	 	 	 	 	 	
TFRC	transporter	 	2	 	 	0.577	2.67E-02	4.42E-02	NFkB (complex),TFRC	GAD2,HERPUD1,KCND3	3 (2)	2	 	COMMD1,HFE	 	 	ATF4,DDIT3,FAM20C,SOX11	 	 	 	 	
CTR9	other	 	1	 	 	-1.000	2.77E-02	2.61E-02	CTR9	TIAM1	1 (1)	1	 	 	 	CXCL12	 	 	 	 	 	
PARPBP	other	 	1	 	 	1.000	2.77E-02	4.02E-02	PARPBP	TIAM1	1 (1)	1	 	 	 	 	 	 	 	 	 	
bufalin	chemical reagent	 	1	 	 	-1.000	2.77E-02	3.83E-02	bufalin	TIAM1	1 (1)	1	 	 	 	DDIT3,mir-181	 	 	 	 	 	
DDB2	other	 	2	 	 	0.577	2.83E-02	4.57E-02	DDB2,NFkB (complex),PARP1	GAD2,KCND3,TMSB15A	3 (3)	2	 	 	 	 	NFkB (complex)	 	 	 	 	
mir-124	microRNA	 	1	 	 	1.000	2.89E-02	2.91E-02	mir-124	DLX5	1 (1)	1	 	 	 	 	DLX5	 	 	 	 	
RGS12	enzyme	 	2	 	 	0.000	2.95E-02	4.96E-02	GNA12,RGS12,SRF	DDR2,LRP1	2 (3)	2	 	 	 	 	 	 	 	 	 	
HFE	transmembrane receptor	 	2	 	 	0.000	3.01E-02	4.81E-02	BMPR1A,HFE,TFRC	DLX5,HERPUD1	2 (3)	2	 	 	 	Ins1	cytokine,TFRC	 	 	 	 	
Collagen(s)	complex	 	1	 	 	1.000	3.01E-02	4.44E-02	Collagen(s)	HERPUD1	1 (1)	1	acetaldehyde,BMP4,copper,MMP14	 	 	ATF4,DDIT3,RELA	THBS1	 	 	 	 	
SIX1	transcription regulator	 	1	 	 	1.000	3.01E-02	4.61E-02	SIX1	DLX5	1 (1)	1	 	 	 	BMP4	DLX5,mir-8	 	 	 	 	
TCF7	transcription regulator	 	1	 	 	-1.000	3.01E-02	3.05E-02	TCF7	BCL11B	1 (1)	1	 	PRNP	 	 	 	 	 	 	 	
