HD20_vs_CTR,HD18_vs_CTR,HD17_vs_CTR,HD_vs_CTR,HD20_vs_HD19
,,TXNP6,TCN2,
,,ABHD3,PPP1R11,
,,DHCR7,TEC,
,,DHCR24,TGFBI,
,,DHFR,THRB,
,,AFG3L1P,KLF10,
,,CYB5R3,TIAM1,
,,DIAPH2,TIE1,
,,DIO2,TIMP3,
,,DIO3,TIMP4,
,,DLG2,NKX2-1,
,,DLG3,TLL1,
,,DLSTP1,TLR5,
,,DLX1,NR2E1,
,,DLX2,TMPRSS2,
,,AGA,TNS1,
,,SARDH,TP53BP2,
,,ACAN,TPBG,
,,DMPK,TPD52,
,,DNA2,TPD52L1,
,,DNAH6,TPM1,
,,AGER,ACTG2,
,,DNAH9,HIST2H2AA4,
,,DNASE1,723805,
,,DNASE1L2,TTPA,
,,DYNC1I1,CASC8,
,,TRDMT1,SNORD116-19,
,,DNMT3A,ANXA8L1,
,,ABAT,ZBTB8B,
,,DPP4,FAM155A,
,,DPYSL2,CARMN,
,,DPYSL3,CLEC19A,
,,DRD1,CHCHD2P2,
,,DRD2,ARHGEF34P,
,,DSC1,LOC728392,
,,DSC2,C20orf187,
,,DSC3,TUFT1,
,,DSG2,BMS1P10,
,,AGT,CICP13,
,,TSC22D3,KRT8P3,
,,DSP,LOC728673,
,,EPYC,SPANXA2,
,,DTNA,ANKRD20A4,
,,DUSP2,FAM182B,
,,DUSP4,RPS15AP10,
,,DUSP7,METTL8P1,
,,AGTR1,SLC15A5,
,,DUSP9,RPL17P50,
,,DYRK1A,KRT18P29,
,,E2F1,LOC729086,
,,E2F2,RPLP1P2,
,,E2F5,STXBP5-AS1,
,,EBF1,KRT18P15,
,,TYMP,FAHD2CP,
,,ECM1,ZNF286B,
,,ABCA1,GAPDHP61,
,,LPAR1,RGPD6,
,,EDNRA,SPDYE6,
,,EEF1A1,LOC729654,
,,EEF1A2,LINC00847,
,,CYS1,LOC729867,
,,EEF1B2,LOC729900,
,,EEF1G,RFPL4AL1,
,,EEF2,LINC01776,
,,EFNA1,SEC14L6,
,,EFNB2,LOC730222,
,,CELSR3,TYRP1,
,,CELSR2,C8G,
,,MEGF6,SLC35A2,
,,MEGF9,VEGFC,
,,EGFR,EZR,
,,EGR1,BEST1,
,,ZNF367,VRK2,
,,PLPP4,MYRF,
,,MPZL3,VWF,
,,PLBD2,TMEM258,
,,PIANP,CORO2A,
,,VSTM4,WEE1,
,,FAM24B,WFS1,
,,EIF2S3,WNT8B,
,,GRAMD2A,WT1,
,,MLKL,XBP1,
,,WDR90,XDH,
,,EME2,GAS8-AS1,
,,NSMCE1,XK,
,,EIF4EBP1,FMNL1,
,,EIF5A,ZFP37,
,,SERPINB1,ZFPL1,
,,TTC21A,ZIC1,
,,ELAVL3,ZNF708,
,,CADM4,ZNF28,
,,ADM5,ZNF37A,
,,A2M,ZNF43,
,,ELF4,CA2,
,,SLC5A9,ZNF69,
,,NBPF11,ZNF75A,
,,FLJ23867,ZNF90,
,,PLD5,ZNF91,
,,KRTCAP2,ZNF121,
,,VWA3B,ZNF132,
,,ANKRD23,ZNF135,
,,APLF,ZNF137P,
,,PIKFYVE,ZNF141,
,,KRTCAP3,RNF112,
,,C3orf67,RNF113A,
,,KCTD6,ZNF195,
,,EML1,ZNF215,
,,RPL22L1,ZNF229,
,,MUC20,DDR1,
,,EMD,LAPTM5,
,,SAMD14,TVP23A,
,,EMP3,CACNA2D1,
,,HACD2,PXDN,
,,EN1,CXCR4,
,,CRYBG1,FZD5,
,,LOC202181,YIPF2,
,,ENG,CAMKV,
,,CCDC125,ZNF655,
,,ENO1,PVRIG,
,,OSTCP1,PRRG4,
,,TCTE1,CHAC1,
,,KHDRBS2,MMP28,
,,ENO3,IRX1,
,,TMEM184A,PGBD5,
,,ADAM32,FAM184A,
,,ERICH5,CCDC121,
,,SUSD3,DYNC2H1,
,,EPAS1,NLRX1,
,,LINC01560,GAL3ST4,
,,SLC25A43,CALCB,
,,RTL3,COLGALT1,
,,NRK,ZFAND1,
,,VMA21,FZD3,
,,ANO5,GEMIN7,
,,DMTN,ZFHX4,
,,STOM,SUGCT,
,,EPHA4,ZNF665,
,,EPHA7,TFPI2,
,,EPHB3,NIPAL2,
,,SLC44A5,METTL8,
,,AK4,ARHGEF5,
,,LINC00116,TREML2,
,,EPHX2,BAALC,
,,CLN8,NUDT18,
,,EPS8,RABEP2,
,,ERBB3,PODNL1,
,,EREG,TMC7,
,,ERG,ADM2,
,,ERN1,TNIP3,
,,ERV3-1,CNTNAP3,
,,ESR1,KAT6A,
,,ESRRG,LINC00472,
,,ETFA,PLPPR3,
,,ETS1,SYNDIG1,
,,ETS2,ATAT1,
,,MECOM,ZNF702P,
,,EXT1,AGPAT4-IT1,
,,EXT2,ANKRD53,
,,EXTL1,TRPM3,
,,EXTL3,PGAP1,
,,EYA1,LRRTM4,
,,ALCAM,ZNF606,
,,F2RL2,ZFP2,
,,FABP6,C3orf36,
,,FABP7,NR4A3,
,,FANCA,FRAS1,
,,FANCC,PRR36,
,,FANCD2,MYCT1,
,,ACSL1,CHD9,
,,ACSL4,PREX2,
,,FAH,PDGFD,
,,BPTF,SP6,
,,ALDH1B1,WNT10A,
,,FAP,ULBP2,
,,AMER2,ULBP1,
,,TMEM254-AS1,KCNIP4,
,,PLAC9,CSRP3,
,,YPEL4,SLC19A3,
,,UNC5B,SRCIN1,
,,FAU,MPIG6B,
,,STOX1,PRR7,
,,CCNY,MFAP5,
,,C11orf45,ITIH5,
,,HYLS1,SPX,
,,FBN1,ZNF436,
,,LRTOMT,APOL6,
,,FBN2,HCG4B,
,,FAM124A,TMPRSS5,
,,DOK6,DPF3,
,,OTUD1,AP3B2,
,,HEPACAM,PWAR5,
,,OAF,ST8SIA2,
,,TIGD3,SLC7A5,
,,FAM181B,HM13,
,,RNF152,STMN4,
,,USP32P2,VOPP1,
,,RPLP0P6,TXNDC5,
,,RPSAP15,LBH,
,,C10orf25,TMEM163,
,,ZNF485,DOCK8,
,,ALDH3B1,ADAMTS10,
,,RASGEF1A,NETO2,
,,JMJD1C,NETO1,
,,NSUN6,SPRY4,
,,ALKBH3,ZNF239,
,,SPATA13,DPF1,
,,FCGR2A,CLTCL1,
,,NT5DC1,PUDP,
,,ADGRF5,PNPLA4,
,,ADCY10P1,USP9X,
,,ZBTB12,DYSF,
,,SERPINB9P1,ACTG1P10,
,,VWDE,SNN,
,,SP8,AXIN2,
,,JAZF1,EOMES,
,,GPC2,FZD4,
,,SDK1,HIST1H3C,
,,MTURN,RASSF5,
,,FDFT1,CASP3,
,,NAPEPLD,TMEM47,
,,ATXN7L1,CD99L2,
,,HS3ST5,RPS6KL1,
,,SLC35F1,CASP4,
,,SCUBE3,HIST2H4A,
,,ZSCAN23,ESPN,
,,RPL23P8,INHBE,
,,NYAP1,SLC25A18,
,,ALDH9A1,MARVELD1,
,,SEMA3D,SYT15,
,,FEN1,FSD1L,
,,ALDH3A2,GPR61,
,,FER,FGFBP2,
,,FES,LRMDA,
,,FGD1,IMMP2L,
,,FGF3,SLC4A11,
,,ABCD2,B3GNT5,
,,FGF5,PCDHB19P,
,,FGF7,ADGRV1,
,,MAPK15,KIAA1109,
,,ALDOA,CMAHP,
,,FGFR1,POMK,
,,FGFR3,ANKRD20A1,
,,GPC5,NBPF3,
,,FGFR4,C2orf16,
,,FH,ATP13A4,
,,FHIT,GARNL3,
,,FHL2,HSDL2,
,,FHL3,NOA1,
,,NID2,RNF135,
,,ALDOAP2,CASQ1,
,,FKBP1A,ADGRA1,
,,RRAS2,ZNF512,
,,ITGA11,MEGF11,
,,IKZF2,DOC2B,
,,MRAS,SPIRE2,
,,ATF5,HOPX,
,,COPG1,KIAA1841,
,,PHLDA1,PGBD1,
,,MTF2,COL25A1,
,,HSPA4L,TPST2,
,,NLGN4Y,PARD6B,
,,CEP162,TUBB6,
,,ANKRD26,ZNF594,
,,NTNG1,KIRREL3,
,,NLRP1,FNDC1,
,,CNKSR2,KRBA1,
,,ZNF510,TTBK1,
,,NLGN1,AFAP1L2,
,,SEC31A,DGAT2,
,,DZIP1,GLIS2,
,,MLXIP,ZNF347,
,,ANKRD6,CARD6,
,,ZHX2,SLC9A7,
,,ABLIM3,ACCS,
,,ALDOB,FAM71F1,
,,FOXG1,LNX1,
,,CARD8,LINC00260,
,,ARSG,SPSB2,
,,RUFY3,CBX2,
,,ZP1,PYROXD2,
,,KIFAP3,SEMA7A,
,,PLA2R1,CILP,
,,POMZP3,ANKRD36BP1,
,,SIRT2,ABHD14B,
,,ELL2,C1orf198,
,,FOXF1,PLXDC2,
,,SHANK2,ATOH8,
,,DKK1,PPM1D,
,,PTGR1,UBASH3B,
,,FOXF2,PPFIA2,
,,RPL41P3,URB1-AS1,
,,FOXD1,RERG,
,,RPL41P2,TMEM141,
,,RPL41P1,REPS1,
,,EFR3B,GAS7,
,,NINL,CST7,
,,MAST1,ATCAY,
,,ACIN1,KRT87P,
,,SORCS3,KIAA1644,
,,SV2C,MYLK2,
,,CEP152,KIAA1656,
,,IGSF9B,RHPN2,
,,LIMCH1,STON2,
,,ALDOC,LRRCC1,
,,DAAM1,DISP2,
,,PLCH1,LBX2,
,,GOLGA8A,LGR5,
,,FOXJ1,INE1,
,,TMCC1,BHLHE40,
,,UNC13A,CDC14A,
,,MYO16,TMEFF1,
,,FOXC2,SCARF1,
,,DOPEY1,CAV2,
,,ZNF292,RGS20,
,,WDTC1,PLA2G4C,
,,MYT1L,PLPP3,
,,PDXDC1,STC2,
,,TNIK,CADPS,
,,KIF21B,TP63,
,,PDS5B,CBFA2T3,
,,SMG1,HSD17B6,
,,CAND2,UNC5C,
,,FOXS1,RNASET2,
,,EXPH5,DCHS1,
,,ZNF423,AKR1C3,
,,KIF1B,CHRD,
,,IQSEC2,RPS2P7,
,,FOXO3B,B3GALT2,
,,TBC1D2B,B3GALT1,
,,RAP1GAP2,SERPINH1,
,,SPART,CTNNAL1,
,,TNRC6B,MYOM1,
,,NPIPB3,TNFSF12,
,,HIC2,TNFSF9,
,,ATP10B,MATN4,
,,POGZ,RGS9,
,,COLGALT2,ACTN2,
,,PLXND1,CREG1,
,,FLI1,TRIM24,
,,SMC5,CCIN,
,,FCHO1,LIN7A,
,,FRMD4B,PROM1,
,,GRAMD4,KSR1,
,,FLNA,KAT2B,
,,MAPK8IP3,CDK5R1,
,,FLNB,APLN,
,,PASK,SYNJ1,
,,FLNC,ST3GAL5,
,,DIP2A,SYNJ2,
,,MDN1,PRPF4B,
,,GSE1,AP1S2,
,,ACSBG1,CACNA1I,
,,SYT11,TIMELESS,
,,MLC1,SKAP2,
,,FLT1,CCND2,
,,JMJD6,P4HA2,
,,SULF1,GAL3ST3,
,,PRRC2C,NAV2,
,,SYNE2,SLC25A21,
,,NUP210,LHX4,
,,ARHGEF9,SLAMF9,
,,SEL1L3,LIMD1,
,,TBC1D12,HAP1,
,,DNAJC9,FAM181A,
,,PLCB1,CH25H,
,,ARC,FAM110B,
,,PHLPP1,SEMA5A,
,,COBL,ZNF835,
,,KIAA0556,MAP7,
,,ATP11A,ZNF799,
,,OTUD3,ZNF625,
,,ANKRD12,ZNF439,
,,KAZN,CLDN6,
,,MTCL1,CLDN1,
,,MCF2L,DIRAS3,
,,DNMBP,LDB2,
,,NUP160,TCEAL8,
,,FMO3,IL33,
,,KIAA1107,DMAC1,
,,WSCD1,CREB3L1,
,,ACSL6,MTMR4,
,,NEMP1,SLC16A3,
,,ICOSLG,CBFA2T2,
,,SIN3B,ZNF502,
,,KIAA0930,PKDCC,
,,SATB2,PCED1B,
,,ZCCHC11,PLXNA4,
,,TRIM2,SLFN11,
,,TTC28,BOC,
,,DPY19L1,TMSB10,
,,SYNM,LPAR2,
,,AFF2,MYOM2,
,,SMCHD1,IL1RL1,
,,DOCK9,ZNF804A,
,,FN1,REPS2,
,,U2SURP,CHRDL1,
,,HAUS5,NDUFAF2,
,,FNBP4,ZNF300,
,,PSD3,DCLK1,
,,PPP1R13B,ZNF585B,
,,TNS2,DLG5,
,,ICE1,SPSB4,
,,SRGAP2,PXYLP1,
,,AHCYL2,MSC,
,,SIK3,GPR50,
,,ATP13A2,DHRS3,
,,FRAT2,CD9,
,,COTL1,MED14,
,,SIRT5,SOCS6,
,,CRB1,NEURL3,
,,NOMO1,DMKN,
,,TMED3,PTER,
,,GRIP1,GLP2R,
,,SLC7A8,NDST3,
,,GCAT,LHX2,
,,NPTXR,CGB5,
,,TRAM1,CADPS2,
,,ETHE1,NRXN2,
,,SEC61G,LIPG,
,,PES1,HS6ST1,
,,CES3,CD101,
,,MACF1,HTRA3,
,,DAAM2,SFXN5,
,,TMEM131,CGB8,
,,TTC9,ARHGAP12,
,,SCRIB,TP53INP1,
,,SLC39A14,TNFRSF8,
,,KAT6B,CHST2,
,,ZNF281,HOMER2,
,,FOS,SH3BP5,
,,FOSB,CD34,
,,RBFOX2,ROCK2,
,,SEZ6L,CD36,
,,DNPEP,STX8,
,,FOSL2,CHST10,
,,PSD4,SLC4A7,
,,CDC42EP4,MAGED1,
,,DDX58,RPH3AL,
,,HEBP2,CD37,
,,PATZ1,CD38,
,,AMACR,BAG5,
,,DAPK2,TP53I11,
,,PHLDA3,IGDCC3,
,,ZMYND8,GABBR2,
,,PRND,BABAM2,
,,KCNE5,AKAP12,
,,CA14,CD44,
,,LRRC6,CD47,
,,LY96,RGS6,
,,KCNE4,GNA14,
,,FRRS1L,FEZ1,
,,SDF2L1,HERPUD1,
,,IL17RA,USP6NL,
,,FLRT2,FAM131B,
,,ALK,ECE2,
,,ALOX5,CD74,
,,ALOX5AP,GPRIN2,
,,EML2,NOS1AP,
,,FTSJ1,SECISBP2L,
,,NAT6,HDAC9,
,,FJX1,CCP110,
,,SPDYA,ACAP1,
,,DEFB115,CD81,
,,ATP6V0D2,STARD8,
,,TXLNGY,FRMPD4,
,,AKR7A2P1,HDAC4,
,,CDC26,TOX,
,,STAC3,RAPGEF5,
,,PELI3,TM9SF4,
,,ALPL,CDA,
,,NR5A2,PHYHIP,
,,FTH1,SCRN1,
,,FTH1P2,SPOCK2,
,,FTH1P7,GINS1,
,,FTH1P8,EPM2AIP1,
,,FTH1P10,PLPPR4,
,,FTH1P15,SRGAP3,
,,FTH1P5,SLC35E2,
,,FUCA1,XYLB,
,,FUT4,HS3ST4,
,,ZNF396,CASP8AP2,
,,PSMD5-AS1,,
,,CADM2,,
,,ZNF620,,
,,WDR27,,
,,MSRB3,,
,,SFTA3,,
,,ASPHD1,,
,,METAP1D,,
,,UBN2,,
,,SNX32,,
,,CALHM5,,
,,CNIH2,,
,,AKNAD1,,
,,ZDHHC24,,
,,MIR9-3HG,,
,,ZDHHC23,,
,,GAB1,,
,,RPL9P8,,
,,GABBR1,,
,,CBARP,,
,,LOC255308,,
,,EPGN,,
,,MBLAC1,,
,,ZNF718,,
,,RNF144B,,
,,GABRA3,,
,,PCSK9,,
,,INAFM1,,
,,GABRA5,,
,,SDHAP1,,
,,ZNF549,,
,,GABRB2,,
,,SYCE2,,
,,GABRB3,,
,,STEAP1B,,
,,LMNTD2,,
,,RPS2P32,,
,,TMEM151A,,
,,TCERG1L,,
,,LYSMD2,,
,,GLIPR1L1,,
,,KANK3,,
,,FRMD3,,
,,GAD1,,
,,ARHGAP30,,
,,GCSAM,,
,,GAD2,,
,,LOC257396,,
,,FAM133B,,
,,MEIS3P2,,
,,SHC2,,
,,TBC1D22A,,
,,RASGRP3,,
,,NGEF,,
,,PGLS,,
,,QPCT,,
,,LMOD1,,
,,VAX2,,
,,GALC,,
,,PRDX5,,
,,BACE2,,
,,SULT4A1,,
,,NBPF14,,
,,POU2F3,,
,,MGAT4C,,
,,NIPBL,,
,,RAB26,,
,,METTL7A,,
,,ASF1A,,
,,PP7080,,
,,PARM1,,
,,ZNF345,,
,,FAM149A,,
,,WHRN,,
,,USP49,,
,,ABHD14A,,
,,SUMF2,,
,,RPL36,,
,,MPC2,,
,,SPEF1,,
,,MXRA5,,
,,ABI3BP,,
,,RNF19A,,
,,MTHFD1L,,
,,OLFML2B,,
,,NDUFAF3,,
,,GALT,,
,,ATL3,,
,,NALCN,,
,,CNRIP1,,
,,TAS2R31,,
,,IL4I1,,
,,NSL1,,
,,WWTR1,,
,,FAM98A,,
,,NECTIN3,,
,,GANC,,
,,SEC31B,,
,,PNISR,,
,,GAP43,,
,,ADGRA2,,
,,GAPDH,,
,,EGFL6,,
,,DNAH1,,
,,SNED1,,
,,REXO2,,
,,GORASP2,,
,,L3MBTL1,,
,,LRP10,,
,,PCDHGA12,,
,,ACOT11,,
,,NSUN5P2,,
,,OSBPL3,,
,,SUSD5,,
,,IPCEF1,,
,,CHD5,,
,,SS18L1,,
,,SETBP1,,
,,MAGI3,,
,,PRSS33,,
,,LRRTM2,,
,,CNTNAP2,,
,,DNM3,,
,,AUTS2,,
,,RAB11FIP5,,
,,DECR2,,
,,ARHGEF26,,
,,DCAF4,,
,,CCDC69,,
,,WSB1,,
,,EPC2,,
,,RALGAPA1P1,,
,,TES,,
,,ZBTB20,,
,,TTLL3,,
,,LRRC32,,
,,RIBC2,,
,,ZNF337,,
,,KIF26A,,
,,PCDHB5,,
,,GARS,,
,,STEAP2,,
,,PITPNC1,,
,,GAS6,,
,,GAS8,,
,,FBXL21,,
,,PHGDH,,
,,TIAM2,,
,,CABYR,,
,,GATA6,,
,,FBXO6,,
,,SACS,,
,,GATM,,
,,ARFGAP3,,
,,AK5,,
,,SERGEF,,
,,GBE1,,
,,GAPDHS,,
,,GBP3,,
,,HSPB8,,
,,GCK,,
,,NUPR1,,
,,PLEK2,,
,,SLC17A5,,
,,HEYL,,
,,TIMM13,,
,,AATF,,
,,RGS17,,
,,SRPK3,,
,,PCOLCE2,,
,,OSTF1,,
,,BSCL2,,
,,GREM1,,
,,MSTN,,
,,TBL2,,
,,GDF9,,
,,NDUFA9P1,,
,,MDGA1,,
,,MAGEA2B,,
,,RGL4,,
,,OR4F3,,
,,AMFR,,
,,GFAP,,
,,PGBD2,,
,,RPS9P2,,
,,GFPT1,,
,,GFRA1,,
,,GFRA2,,
,,SNORA73B,,
,,SNORD79,,
,,SNORD80,,
,,SNORA70,,
,,SNORD57,,
,,SNORD56,,
,,SNORD52,,
,,AMH,,
,,SNORD49A,,
,,SNORD47,,
,,SNORD45B,,
,,SNORD44,,
,,SNORD36C,,
,,SNORD36A,,
,,B4GALT1,,
,,RNU4-2,,
,,GGT5,,
,,STEAP1,,
,,SEC22A,,
,,GPR160,,
,,CYFIP2,,
,,BEX3,,
,,DNAI1,,
,,GJA5,,
,,NPTN,,
,,ACAD8,,
,,LAT,,
,,SND1,,
,,GJB2,,
,,PPA2,,
,,GHITM,,
,,LAMP3,,
,,RPUSD2,,
,,MTBP,,
,,B3GAT1,,
,,ST6GALNAC4,,
,,CACNG5,,
,,CACNG4,,
,,SND1-IT1,,
,,AMPD2,,
,,GK,,
,,ATP5S,,
,,PDE7B,,
,,DKKL1,,
,,HSPB7,,
,,KCNH5,,
,,CIDEB,,
,,PALD1,,
,,FAM184B,,
,,STK36,,
,,RSPH14,,
,,NDOR1,,
,,NAAA,,
,,SALL3,,
,,PRELID1,,
,,IL17B,,
,,GLB1,,
,,SERP1,,
,,SULT1C4,,
,,ARHGEF16,,
,,GPR162,,
,,MMADHC,,
,,CNTN6,,
,,SRPX2,,
,,RND1,,
,,SMPDL3B,,
,,AMPH,,
,,RBMS3,,
,,ZNF330,,
,,TOX3,,
,,TNRC6A,,
,,PCDH11X,,
,,RPS6KA6,,
,,EIF3K,,
,,UTP20,,
,,PCSK1N,,
,,GLI1,,
,,APOBEC3C,,
,,GLI2,,
,,GLI3,,
,,BIN1,,
,,GLRB,,
,,CECR2,,
,,AMY1B,,
,,GNAL,,
,,GNB3,,
,,GNG3,,
,,GNG4,,
,,GNG5,,
,,GNG7,,
,,GNRH1,,
,,GNRH2,,
,,GNRHR,,
,,AMY2B,,
,,GOLGA1,,
,,EIF1AXP1,,
,,GPD1,,
,,GPI,,
,,GPLD1,,
,,GPM6A,,
,,SLCO4A1,,
,,SLCO3A1,,
,,GPM6B,,
,,GPR1,,
,,LINC00515,,
,,NASPP1,,
,,STK32C,,
,,RBM20,,
,,ANG,,
,,NUTM2E,,
,,EIF2S2P3,,
,,LOC283028,,
,,ZMIZ1-AS1,,
,,RPS25P1,,
,,LOC283140,,
,,BCL9L,,
,,CDH20,,
,,MIR4697HG,,
,,P4HA3,,
,,KLHL35,,
,,CRACR2B,,
,,LOC283299,,
,,OTOGL,,
,,B4GALNT3,,
,,MORN3,,
,,DPY19L2,,
,,HECTD4,,
,,KSR2,,
,,NME2P1,,
,,FGF14-AS2,,
,,LINC00346,,
,,SLC46A3,,
,,LINC00639,,
,,GPR137C,,
,,ZDHHC22,,
,,FAM181A-AS1,,
,,LINC00641,,
,,TSSK4,,
,,PRTG,,
,,LINC00926,,
,,LOC283683,,
,,HERC2P3,,
,,LINC00928,,
,,NOMO2,,
,,BRICD5,,
,,LOC283922,,
,,FBXL19-AS1,,
,,PKD1P2,,
,,CLEC18C,,
,,LINC00685,,
,,CCDC57,,
,,MILR1,,
,,CCDC144B,,
,,TTLL6,,
,,GPR18,,
,,CISD3,,
,,CAVIN1,,
,,GDPD1,,
,,METRNL,,
,,LAMA1,,
,,SIGLEC15,,
,,ZADH2,,
,,ZNF547,,
,,ZIK1,,
,,ZNF776,,
,,ZSCAN1,,
,,ZNF283,,
,,ZNF841,,
,,ZNF763,,
,,ZNF844,,
,,RPL10P16,,
,,GPR21,,
,,SCGB2B2,,
,,TMEM150B,,
,,NWD1,,
,,ZNF493,,
,,LOC284454,,
,,FAM19A3,,
,,SLC9C2,,
,,LOC284561,,
,,LOC284581,,
,,LOC284600,,
,,RUSC1-AS1,,
,,LOC284620,,
,,SPATA46,,
,,MCHR1,,
,,SLC25A34,,
,,ESPNP,,
,,FRG1BP,,
,,LINC00323,,
,,TTC28-AS1,,
,,LOC284950,,
,,CCDC150,,
,,LINC01114,,
,,RPL18AP6,,
,,LINC01305,,
,,MED15P9,,
,,DLL1,,
,,ERICH2,,
,,FLJ33534,,
,,UNC80,,
,,RPL10P6,,
,,TRDJ1,,
,,TRDC,,
,,ZNF621,,
,,LINC00877,,
,,CCDC66,,
,,ZNF852,,
,,ZNF660,,
,,CYP4V2,,
,,RPL34-AS1,,
,,CTBP1-AS,,
,,CRIPAK,,
,,LOC285500,,
,,GPRIN3,,
,,FRYL,,
,,FAM200B,,
,,LOC285556,,
,,KIAA0825,,
,,RELL2,,
,,RNF180,,
,,RGMB,,
,,DCBLD1,,
,,RPL39P3,,
,,HCG22,,
,,INTS4P1,,
,,LINC00174,,
,,INHBA-AS1,,
,,SPDYE1,,
,,SNHG15,,
,,WEE2-AS1,,
,,TCAF2,,
,,DLX6-AS1,,
,,ZNF789,,
,,ANK1,,
,,LSMEM1,,
,,FAM86B3P,,
,,NSMCE2,,
,,FAM83H,,
,,MICU3,,
,,ZNF252P,,
,,NKAIN3,,
,,SCAI,,
,,C9orf47,,
,,TUSC1,,
,,FAM78A,,
,,LURAP1L,,
,,FOXD4L3,,
,,ATP11C,,
,,LINC00632,,
,,TTC3P1,,
,,FAM133A,,
,,STON1-GTF2A1L,,
,,TRIM59,,
,,ANK2,,
,,GPT,,
,,TRAC,,
,,ANK3,,
,,GRB10,,
,,GRB14,,
,,GRIA1,,
,,GRIA2,,
,,GRID1,,
,,TRIB2,,
,,DEXI,,
,,TMEM176B,,
,,SLC6A16,,
,,BZW2,,
,,C19orf53,,
,,IFT81,,
,,FLVCR1,,
,,MAGEH1,,
,,NTMT1,,
,,GRIK3,,
,,MACROD1,,
,,HIPK2,,
,,KLF15,,
,,GRIK4,,
,,SLC43A3,,
,,ATAD2,,
,,GRIN2A,,
,,GRIN2B,,
,,GRIN2D,,
,,GRINA,,
,,SETD2,,
,,LINC00652,,
,,UBE2T,,
,,DNAJC15,,
,,NXT1,,
,,FHOD1,,
,,DDX25,,
,,CLEC2D,,
,,CD274,,
,,UHRF1,,
,,GRM3,,
,,GRM8,,
,,SLC25A5,,
,,CXCL2,,
,,PDIA3,,
,,GRPR,,
,,SLC25A6,,
,,GSN,,
,,GSTA1,,
,,GSTA2,,
,,GSTM3,,
,,GSTM4,,
,,GSTP1,,
,,GSTT2,,
,,GTF2E2,,
,,GTF2I,,
,,GTF2IP1,,
,,GUCY1B2,,
,,USP25,,
,,TMOD4,,
,,POM121L9P,,
,,ABT1,,
,,MAP2K1P1,,
,,PARVB,,
,,CYP2S1,,
,,GUCA1B,,
,,POM121L8P,,
,,C2orf27A,,
,,GUCY1A3,,
,,GUK1,,
,,PSMC3IP,,
,,ST8SIA5,,
,,GYG1,,
,,GMPPA,,
,,PCDHB1,,
,,NENF,,
,,DSE,,
,,PURG,,
,,PADI1,,
,,ANAPC4,,
,,SERTAD3,,
,,GYPC,,
,,SERTAD1,,
,,TRHDE,,
,,DMGDH,,
,,PRICKLE4,,
,,PSAT1,,
,,GYS1,,
,,SCHIP1,,
,,UBQLN2,,
,,NRBF2,,
,,BAZ2B,,
,,LMCD1,,
,,ERO1A,,
,,SH3KBP1,,
,,SPANXA1,,
,,SLC40A1,,
,,ANXA2,,
,,ANXA2P1,,
,,HAS2,,
,,HAS3,,
,,ANXA2P2,,
,,HCCS,,
,,HCK,,
,,HCLS1,,
,,HDC,,
,,HDLBP,,
,,HELLS,,
,,HEXA,,
,,ANXA5,,
,,HUNK,,
,,SOX8,,
,,ERVW-1,,
,,KCNIP3,,
,,KCNIP2,,
,,KCNIP1,,
,,ZNF354C,,
,,ZNRD1,,
,,EHD3,,
,,EHD2,,
,,TAX1BP3,,
,,HHEX,,
,,HIC1,,
,,HIF1A,,
,,HIP1,,
,,HINT1,,
,,ANXA7,,
,,ZBTB48,,
,,HLA-DMA,,
,,HLA-DMB,,
,,ANXA11,,
,,HLA-DOA,,
,,HLA-DOB,,
,,HLA-DPA1,,
,,HLA-DQA2,,
,,HLA-DQB2,,
,,HLA-DRA,,
,,HLA-DRB1,,
,,HLA-DRB5,,
,,HLA-DRB6,,
,,HLA-H,,
,,HLA-J,,
,,HLA-K,,
,,HLA-L,,
,,HLX,,
,,AOX1,,
,,HMOX1,,
,,HMX2,,
,,APAF1,,
,,NOP14-AS1,,
,,DHRS4L2,,
,,HNRNPH1,,
,,BNIP3P1,,
,,HOXA1,,
,,ACACB,,
,,APBA1,,
,,HOXA10,,
,,APBA2,,
,,HOXB9,,
,,HOXC4,,
,,HOXC5,,
,,HOXC6,,
,,HOXC8,,
,,APC,,
,,UBE2CP1,,
,,RPL27P1,,
,,RPL7AP6,,
,,RPS18P2,,
,,ZAR1,,
,,RAB37,,
,,MMAB,,
,,HRH2,,
,,HES1,,
,,HSD17B2,,
,,HSPA1A,,
,,HSPA1B,,
,,HSPA2,,
,,HSPA5,,
,,HSPA6,,
,,HSPB1,,
,,HSP90AA3P,,
,,APLP1,,
,,NDST1,,
,,HTR1B,,
,,HTR1D,,
,,TNC,,
,,IARS,,
,,UBAC2,,
,,HIST2H2BD,,
,,CHSY3,,
,,PSME2P3,,
,,PSME2P2,,
,,ICAM1,,
,,NLRP10,,
,,SNORD109A,,
,,ST8SIA6,,
,,CCDC84,,
,,B4GALNT4,,
,,TMEM119,,
,,KRT79,,
,,LINC01252,,
,,PKD1P3,,
,,PKD1P1,,
,,RAB43,,
,,ARL16,,
,,C17orf51,,
,,LINC00667,,
,,ZNF181,,
,,ZNF260,,
,,ZNF546,,
,,MYPOP,,
,,ADAMTSL5,,
,,ANKRD45,,
,,KLHL17,,
,,ZNF678,,
,,LINC01139,,
,,LINC00634,,
,,CYP27C1,,
,,ID2,,
,,C2orf74,,
,,CCDC39,,
,,WWP1P1,,
